name,barangay,district,flood_type,river_or_creek,latitude,longitude
Quimpo Boulevard - CITI Hardware,Matina Crossing,Talomo,Street Flooding,,7.0511816318719,125.58245528755032
Habanera Street - Lanzona Subdivision,Matina Aplaya,Talomo,Street Flooding,,7.050137161016079,125.57489793984007
Orange Groove,Matina Pangi,Talomo,Street Flooding,7.081683600214591,125.56599988379638
Taal Street - Central Park,Talomo Proper,Talomo,Street Flooding,7.05823396491975,125.55277531215187
Purok 8A Sambagan,Talomo Proper,Talomo,Riverine Flooding,Talomo River,7.051753007901304,125.54968530008152
Purok 1A,Matina Pangi,Talomo,Riverine Flooding,Matina River,7.085355069904885,125.56048118343463
Purok 16,Lubogan,Toril,Riverine Flooding,Lipadas River,7.033616306840889,125.49415970915588
Sunrise Village - San Miguel,Panacan,Bunawan,Street Flooding,,7.152535082380843,125.65872888032075
Davao-Bukidnon rd., in front of BDO, Barangay Calinan Proper, Calinan District, Street Flooding, 7.187046590406095, 125.45858966445022
Calinan-Baguio-Cadalian Road, R. Magsaysay Street, Barangay Calinan Proper, Calinan District, Street Flooding, 7.186663386822199, 125.45825707052829
Davao-Bukidnon Rd. corner Aurora St., beside Caltex Gas Station, Barangay Calinan Proper, Calinan District, Street Flooding, 7.192347388471668, 125.45389106628964
De Lara St. Fausta, Barangay Calinan Proper, Calinan District, Street Flooding, 7.186608200343338, 125.46076443057649
Durian St., Barangay Calinan Proper, Calinan District, Street Flooding, 7.109719342725121, 125.4861803355983
R. Magsaysay St., Barangay Calinan Proper, Calinan District, Street Flooding, 7.19043700041502, 125.44703967794082
Candelaria St., Barangay Bucana, Talomo District, Street Flooding, 7.05426389141254, 125.60179442109248
Eco West Drive beside SM EColand, Barangay Bucana, Talomo District, Street Flooding, 7.0476616851918, 125.5881399888536
Ecoland Drive infront of Civil Service Office, Barangay Bucana, Talomo District, Street Flooding, 7.0467517891792495, 125.59325725332367
Sparrow St., Ecoland Subd., Barangay Bucana, Talomo District, Street Flooding, 7.052049091268744, 125.60160789327864
Infront of SIR Elem. School, Barangay Bucana, Talomo District, Street Flooding, 7.059949897628453, 125.60253520547496
Ecoland Drive infront of St. John Paul College, Barangay Bucana, Talomo District, Street Flooding, 7.053642520020518, 125.5986830147073
At the back of Blue Lotus Hotel, Daang Patnubay, Barangay Bucana, Talomo District, Street Flooding, 7.057752033057258, 125.60021701206522
Infront of Verdon Parc to the corner of Talisay Street, Barangay Bucana, Talomo District, Street Flooding, 7.056347010600295, 125.59510793026195
Corner Sampaguita and Talisay Street, purok 24-A, Talisay, Barangay Bucana, Talomo District, Street Flooding, 7.046425892405457, 125.59554376546663
Beside Buffet Palace, Tulip Drive, Barangay Matina Crossing, Talomo District, Street Flooding, 7.0604770412188405, 125.58802667336623
McArthur Highway along GSIS to Matina Crossing Public Market, Barangay Matina Crossing, Talomo District, Street Flooding, 7.057690497477512, 125.57134251294029
Along Nubia Street, Barangay Matina Crossing, Talomo District, Street Flooding, 54.588533110283606, -5.953097150908446
Infront of DILG, Barangay Matina Crossing, Talomo District, Street Flooding, 7.056859836378318, 125.57784758253186
Beside 7/11 Store, Barangay Matina Crossing, Talomo District, Street Flooding, 7.0583406012605625, 125.58015952885148
Habanera St., Lanzona Subdivision, Barangay Matina Aplaya, Talomo District, Street Flooding, 7.047503470606479, 125.57650139143333
Alpha Homes Phase 1&2, Barangay Matina Aplaya, Talomo District, Street Flooding, 7.049348978417292, 125.5715916779676
Subli Street, Lower Lanzona Subdivision, Barangay Matina Aplaya, Talomo District, Street Flooding, 7.049030096793084, 125.57509565280198
Matina Aplaya Road in front of Shanghai Public Market, Barangay Matina Aplaya, Talomo District, Street Flooding, 7.041503256215686, 125.57190234959846
Fronting Matina Aplaya Brgy. Hall, Barangay Matina Aplaya, Talomo District, Street Flooding, 7.044944478628649, 125.568324863313
Vietnam Village fronting Jolibee Puan, Barangay Talomo Proper, Talomo District, Street Flooding, 7.05131395328592, 125.54216401173
Bulusan, Barangay Talomo Proper, Talomo District, Street Flooding, 7.053246438501997, 125.55340933560406
Infront of Mabini ES, Barangay Talomo Proper, Talomo District, Street Flooding, 7.061405968796487, 125.55980851054449
Purok 4 Nalum, Barangay Baliok, Talomo District, Street Flooding, 7.05302712155747, 125.5067931699455
